"full_name","html_url","description","language","topics","stargazers_count","created_at"
"Live-Charts/Live-Charts","https://github.com/Live-Charts/Live-Charts","Simple, flexible, interactive & powerful charts, maps and gauges for .Net","C#","chart;data-visualization;maps;uwp;winforms;wpf","5550","18.09.2015 22:27:20"
"ixmilia/dxf","https://github.com/ixmilia/dxf",,"C#","","264","12.03.2015 20:15:15"
"EvergineTeam/WebGL.NET","https://github.com/EvergineTeam/WebGL.NET",".NET binding for WebGL through WebAssembly","JavaScript","binding;csharp;dotnet;wasm;webassembly;webgl;webgl2;wrapper","139","05.04.2019 11:59:02"
"reactiveui/ReactiveUI","https://github.com/reactiveui/ReactiveUI","An advanced, composable, functional reactive model-view-viewmodel framework for all .NET platforms that is inspired by functional reactive programming. ReactiveUI allows you to  abstract mutable state away from your user interfaces, express the idea around a feature in one readable place and improve the testability of your application.","C#","android;csharp;dotnet;first-timers;fody;framework;functional-reactive-programming;hacktoberfest;ios;mvvm;reactive-extensions;reactive-programming;reactiveui;reactivex;tizen;uwp;winforms;wpf;xamarin;xamarin-forms","8486","11.06.2010 5:24:29"
"shmelev-1987/faq_net","https://github.com/shmelev-1987/faq_net","FAQ.Net — notes application for Windows. RTF documents in SQLite database. Offline portable editor.","C#","application;csharp;docs;editor;free;free-software;notes-app;portable;rtf;rtf-documents;sqlite","45","08.10.2019 17:18:20"
"swharden/Csharp-Data-Visualization","https://github.com/swharden/Csharp-Data-Visualization","Resources for visualizing data using C# and the .NET platform","C#","data-visualization;drawing;hacktoberfest;tutorial;visualization","1108","24.06.2017 21:46:20"
"AArnott/MessagePack-CSharp","https://github.com/AArnott/MessagePack-CSharp","Extremely Fast MessagePack Serializer for C#(.NET, .NET Core, Unity, Xamarin). / msgpack.org[C#]","C#","","25","07.09.2018 22:20:39"
"geopandas/geopandas","https://github.com/geopandas/geopandas","Python tools for geographic data","Python","geoparquet;geospatial;pandas;python;spatial","5131","27.06.2013 17:03:47"
"dataweb-GmbH/NShape","https://github.com/dataweb-GmbH/NShape",,"C#","","97","26.04.2017 12:25:52"
"val-o/Coroutines","https://github.com/val-o/Coroutines","A simple system for running nested coroutines in C#.","C#","","1","30.03.2019 17:37:30"
"akkadotnet/akka.net","https://github.com/akkadotnet/akka.net","Canonical actor model implementation for .NET with local + distributed actors in C# and F#.","C#","actor;actor-model;akka;akkadotnet;c-sharp;cluster;concurrency;distributed-programming;dotnet;reactive","5053","29.12.2013 14:17:38"
"KvanTTT/MathExpressions.NET","https://github.com/KvanTTT/MathExpressions.NET",":heavy_division_sign: Library for parsing math expressions with rational numbers, finding their derivatives and compiling an optimal IL code","C#","c-sharp;calculations;derivative;differentiation;il;il-optimizations;optimization;parsing;parsing-math-expressions;rational-numbers;simplification","71","21.09.2012 21:09:13"
"mathnet/mathnet-numerics","https://github.com/mathnet/mathnet-numerics","Math.NET Numerics","C#","csharp;differentiation;fft;fsharp;integration;interpolation;linear-algebra;math;mathnet;matrix;numerics;random;regression;statistics","3735","24.06.2009 16:31:36"
"pawelsalawa/letos","https://github.com/pawelsalawa/letos","A free, open source, multi-platform SQLite database manager.","C","cpp;database;database-management;qt;qt5;sqlcipher;sqlite;sqlite3-database;wxsqlite3","6543","11.01.2018 15:53:01"
"AndreyAkinshin/Russian-Phd-LaTeX-Dissertation-Template","https://github.com/AndreyAkinshin/Russian-Phd-LaTeX-Dissertation-Template","LaTeX-template for russian Phd thesis","BibTeX Style","dissertation;latex;latex-template","1509","29.10.2012 7:25:29"
"skbkontur/GroBuf","https://github.com/skbkontur/GroBuf","Fast binary serializer","C#","binary;csharp;dotnet;serialization","67","26.05.2016 12:19:52"
